freq 24 and up ,collocate ,有對有錯,有對有錯error type,,有對有錯error type,freq
他 案發 前 共 買 了 十二 [1]{瓶} 蠻牛 [2]{飲料},1,,,,,
由於 這 [1]{瓶} 問題 [2]{飲料} 出自 自動 販賣機,1,,,,,
於是 將 該 [1]{瓶} 可疑 [2]{飲料} 經 衛生局 轉送 高雄 醫學 大學 附設 醫院 毒物 藥物 檢驗室,1,,,,,
咖啡因 含量 應該 以 整 [1]{瓶} [2]{飲料} 中 含有 的 咖啡因量 標示,1,,,,,
獲得 四 等 獎 的 消費者 可 憑 瓶蓋 換取 一 [1]{瓶} [2]{飲料},1,,,,,
"1161,53,種,藥品,0.008444015868008137,0.005093043204396963,Nf,Na",1,,,,,
並 已 開始 研究 一 [1]{種} 新 的 [2]{藥品},1,,,,,
則 須 自行 負擔 兩 [1]{種} [2]{藥品} 間 差價,1,,,,,
降低 二十二 [1]{種} [2]{藥品} 的 最 高 零售 價格,1,,,,,
他們 已經 證實 一 [1]{種} [2]{藥品} 可以 有效 對抗 輪狀 病毒,1,,,,,
四 [1]{種} [2]{藥品} 估計 一 年 健保 就 至少 多 付出 三億多 元,1,,,,,
"1162,53,位,女性,0.006960981525480747,0.005844886880367994,Nf,Na",1,y,,,,
她 並 舉出 衛生局 有 [1]{位} [2]{女性} 同仁,0,,,,,
梅約 醫院 研究 小組 針對 九千零八十七 [1]{位} [2]{女性} 進行 研究 後 指出,1,,,,,
五萬一千三百四十二 [1]{位} [2]{女性},1,,,,,
是 [1]{位} 堅毅 不屈 的 強悍 [2]{女性},1,,,,,
至於 被 查獲 持有 偽造 身心 障礙 者 專用 停車位 識別證 是 [1]{位} [2]{女性} 正常人,0,,誤抓名詞複合詞的modifier,,,
"1163,53,隻,賽鴿,0.01188661903142929,0.007917325012385845,Nf,Na",1,,,,,
每 次 約網攔 二十多 [1]{隻} [2]{賽鴿},1,,,,,
還 會 先 釋放 幾 [1]{隻} 擄獲 [2]{賽鴿} 以 示 誠信,1,,,,,
由 歹徒 先 釋放 兩 [1]{隻} [2]{賽鴿},1,,,,,
並 押往 高雄縣 大寮鄉 起出 被 擄 的 七 [1]{隻} [2]{賽鴿},1,,,,,
鴿網 上 卡 著 兩 [1]{隻} [2]{賽鴿},1,,,,,
"1164,53,立方公尺,水量,0.009830610826611519,0.012062883004546165,Nf,Na",1,y,,,,
石門 水庫 今天 持續 以 每 秒 六百 [1]{立方公尺} 的 [2]{水量} 速度 進行 排洪,1,,,,,
儘管 擁有 兩兆八千億 [1]{立方公尺} 的 [2]{水量},1,,,,,
可 增加 一千一百三十萬 [1]{立方公尺} 的 [2]{水量},0,,未選緊鄰NP,,,
今天 上午 開始 以 每 秒 五十 [1]{立方公尺} 出水 的 半 載 發電 方式 實施 [2]{水量} 調節,0,,未選緊鄰NP,,,
每 秒 只有 兩百四十五 [1]{立方公尺} 的 [2]{水量},1,,,,,
"1165,53,家,供應商,0.009275020100176334,0.005305232014507055,Nf,Na",1,,,,,
美軍 部隊 吃 了 一 [1]{家} 科威特 餐點 [2]{供應商} 的 餐點 後,1,,,,,
嘉義縣 衛生局 今天 下午 也 前往 一 [1]{家} 鴨肉 [2]{供應商} 採樣 化驗,1,,,,,
嘉聯益 同時 為 兩 [1]{家} 手 機廠 的 軟板 [2]{供應商},1,,,,,
除 收集 三百餘 [1]{家} [2]{供應商} 資料 外,1,,,,,
兩 [1]{家} 分別 佔 全球 第二 及第 三 大 [2]{供應商},1,,,,,
"1166,53,隻,綠蠵龜,0.013337798416614532,0.011443189345300198,Nf,Na",1,,,,,
這 [1]{隻} 重 四十五 公斤 的 [2]{綠蠵龜},1,,,,,
順利 的 將 兩 [1]{隻} [2]{綠蠵龜} 搬運 上岸,1,,,,,
這 [1]{隻} [2]{綠蠵龜} 成長 狀況 良好,1,,,,,
孵出 八十 [1]{隻} 小 [2]{綠蠵龜},1,,,,,
見到 這 六 [1]{隻} 經 救治 且 已 康復 的 [2]{綠蠵龜} 平安 順利 的 回到 大海,1,,,,,
"1167,53,張,無效票,0.009704561904072762,0.007236813195049763,Nf,Na",1,,,,,
這 三 [1]{張} [2]{無效票} 中,1,,,,,
二 [1]{張} [2]{無效票},1,,,,,
四 [1]{張} [2]{無效票},1,,,,,
八百七十九 [1]{張} [2]{無效票},1,,,,,
在 眾議員 選舉 中 總共 有 一百十萬二千一百八十八 [1]{張} [2]{無效票},1,,,,,
"1168,53,條,法律,0.005574054084718227,0.005410879384726286,Nf,Na",1,,,,,
希望 能 緩和 美國 對 比利時 採行 這 [1]{條} [2]{法律} 的 不滿,1,,,,,
一旦 這 [1]{條} [2]{法律} 通過,1,,,,,
民調 顯示 超過 九成 台灣人 反對 中國 通過 這 [1]{條} [2]{法律},1,,,,,
必須 注意 中國 三 [1]{條} 有關 [2]{法律},1,,,,,
但 整 [1]{條} [2]{法律} 都 廢掉 也 不 合理,1,,,,,
"1169,53,波,冷氣團,0.008767576888203621,0.006584332324564457,Nf,Na",1,,,,,
十九 日 起 一 [1]{波} 強烈 大陸 [2]{冷氣團} 報到,1,,,,,
週六 有 一 [1]{波} 大陸 [2]{冷氣團} 報報,1,,,,,
不過 十二月 以來 已 有 兩 [1]{波} 強烈 大陸 [2]{冷氣團} 影響 台灣,1,,,,,
一 [1]{波} [2]{冷氣團} 昨天 晚上 開始 影響 台灣,1,,,,,
一 [1]{波} 大陸 [2]{冷氣團} 今天 晚上 到達 台灣,1,,,,,
"1170,53,輛,交通車,0.013635863550007343,0.006303639151155949,Nf,Na",1,,,,,
竟 湊成 了 兩 [1]{輛} [2]{交通車},1,,,,,
全 台 有 五千八百零八 [1]{輛} 幼童 [2]{交通車},1,,,,,
協調 兩 [1]{輛} [2]{交通車} 至 碼頭,1,,,,,
謝長廷 與 蔡金川 並 共同 贈送 一 [1]{輛} [2]{交通車} 給 導盲犬 協會 的 代表,1,,,,,
尊重 組發 會規 劃設 兩百六十九 [1]{輛} 公設 [2]{交通車},1,,,,,
"1171,53,發,全壘打,0.010409023612737656,0.003691259538754821,Nf,Na",1,,,,,
包括 陳金 鋒 的 本 季 第六 [1]{發} [2]{全壘打},1,,,,,
這 也 是 他 本 季 第十 [1]{發} [2]{全壘打},1,,,,,
包括 三 [1]{發} [2]{全壘打},1,,,,,
這 也 是 陳冠 任 本 季 六 場 比賽 中 的 第四 [1]{發} [2]{全壘打},1,,,,,
這 也 是 他 本 季 第九 [1]{發} [2]{全壘打},1,,,,,
"1172,53,頭,毛豬,0.008174754679203033,0.005307535175234079,Nf,Na",1,,,,,
每 [1]{頭} [2]{毛豬} 以 一 季 補助 五百 元 為 基準,1,,,,,
屏東縣 境 有 一百六十萬 [1]{頭} [2]{毛豬},1,,,,,
高雄 縣境 近 五萬 [1]{頭} [2]{毛豬},1,,,,,
五十萬 [1]{頭} [2]{毛豬} 遷移,1,,,,,
每年 拍賣 一百萬 [1]{頭} [2]{毛豬},1,,,,,
"1173,53,頂,帳篷,0.011111056432127953,0.006925754249095917,Nf,Na",1,,,,,
中央 調撥 給 廣西 的 三千 [1]{頂} 救災 [2]{帳篷} 也 全部 運抵 災區,1,,,,,
每 [1]{頂} [2]{帳篷} 含 三 餐 是 五百九十九 元,1,,,,,
雲南省 政府 已 緊急 提撥 二百萬 人民幣 及 調撥 三百 [1]{頂} [2]{帳篷} 和 五百 張 棉被 到 災區,1,,,,,
政府 由 安徽 和 湖北 等 省 緊急 調來 五千 [1]{頂} [2]{帳篷},1,,,,,
慈濟 在 印尼 總共 興建 三千七百 [1]{頂} [2]{帳篷} 及 三千七百 戶 大愛屋,1,,,,,
"1174,53,對,兄妹,0.011833937838673592,0.003983285278081894,Nf,Na",1,,,,,
只 穿 著 運動 衫 與 短褲 的 一 [1]{對} 立陶宛 [2]{兄妹},1,,,,,
今天 自告奮勇 以 人類 母乳 餵食 一 [1]{對} 快要 餓壞 的 孟加拉 幼虎 [2]{兄妹},1,,,,,
這 [1]{對} [2]{兄妹} 品學兼優,1,,,,,
主要 是 慈濟 基金會 義工 林祖慧 幫 這 [1]{對} [2]{兄妹} 向 新加坡 痙攣 兒童 學會 申請 入學,1,,,,,
有 一 [1]{對} 來自 東部 的 [2]{兄妹} 在 上 週 發病 身亡,1,,,,,
"1175,52,位,前輩,0.010410234332084656,0.004670510534197092,Nf,Na",1,,,,,
他 將 結合 三 [1]{位} [2]{前輩} 的 優點,1,,,,,
能 與 兩 [1]{位} 民主 [2]{前輩} 競選,1,,,,,
但 這 兩 [1]{位} 奧斯卡 [2]{前輩} 的 得獎 看好度,1,,,,,
但 首 次 入圍 奧斯卡 的 芮絲微斯朋 與 費莉希蒂霍夫曼 得獎 呼聲 卻 比 兩 [1]{位} 奧斯卡 [2]{前輩} 高,1,,,,,
因為 他們 從 兩 [1]{位} [2]{前輩} 演員 身 上 學到 了 太多 太多,1,,,,,
"1176,52,項,子計畫,0.005846669897437096,0.005481366533786058,Nf,Na",1,,,,,
向 美國 業者 推銷 亞太 營運 中心 的 六 [1]{項} [2]{子計畫},1,,,,,
下 分 二百三十八 [1]{項} [2]{子計畫},1,,,,,
共計 十餘 [1]{項} [2]{子計畫},1,,,,,
總共 有 八十六 [1]{項} [2]{子計畫},1,,,,,
共有 九 [1]{項} [2]{子計畫},1,,,,,
"1177,52,趟,旅遊,0.009210677817463875,0.011225028894841671,Nf,Nv",1,,,,,
爭取 亞太 地區 國際 病友 來 台灣 做 一 [1]{趟} 醫療 [2]{旅遊},1,,,,,
現在 來 一 [1]{趟} 生態 [2]{旅遊},1,,,,,
現在 來 一 [1]{趟} 生態 [2]{旅遊},1,,,,,
到 台灣 來 [1]{趟} 深度 [2]{旅遊},1,,,,,
並 來 一 [1]{趟} 生態 [2]{旅遊},1,,,,,
"1178,52,項,建議案,0.009948505088686943,0.0062913475558161736,Nf,Na",1,,,,,
黃世銘 表示 在 第一 [1]{項} [2]{建議案} 中 仍 有 進行 細部 研究 可行性 的 必要,1,,,,,
討論 十二 [1]{項} 款項 運用 [2]{建議案},1,,,,,
會 中通 過多 [1]{項} [2]{建議案} 轉 國際 貿易 委員會,1,,,,,
接獲 五十七 [1]{項} [2]{建議案},1,,,,,
中油 公司 向 經濟部 提報 國內 油氣 價格 調漲 兩 [1]{項} [2]{建議案},1,,,,,
"1179,52,家,老小,0.018579212948679924,0.008273559622466564,Nf,Na",4,,,,,
斷 了 一 [1]{家} [2]{老小} 的 生計,4,,,,,
民眾 可以 帶 著 全 [1]{家} [2]{老小} 和 狗狗 貓咪 共襄盛舉,4,,,,,
有的 是 一 [1]{家} [2]{老小} 全部 移民 回 以色列,4,,,,,
一 度 興起 想 帶 全 [1]{家} [2]{老小} 一起 尋短 念頭,4,,,,,
談到 一 [1]{家} [2]{老小},4,,,,,
"1180,52,張,健保卡,0.01389998011291027,0.00810147076845169,Nf,Na",1,,,,,
他 也 想要 讓 小 女兒 能 有 [1]{張} [2]{健保卡},1,,,,,
台灣 法輪功 學員 修煉 後 平均 每 人 一 年 只 用 一 [1]{張} [2]{健保卡},1,,,,,
死者 身 上 持有 一 [1]{張} 名字 登記為 藝人 倪敏然 的 [2]{健保卡},1,,,,,
死者 身 上 持有 一 [1]{張} 名字 登記為 藝人 倪敏然 的 [2]{健保卡},1,,,,,
警方 隨後 在 其中 一 名 死者 身 上 尋獲 一 [1]{張} [2]{健保卡},1,,,,,
"1181,52,家,店面,0.00916233565658331,0.005392891820520163,Nf,Na",1,,,,,
由 去年 三百 [1]{家} [2]{店面} 增至 一千 家 以上,1,,,,,
鄰近 多 [1]{家} [2]{店面} 亦 受損,1,,,,,
教育部 有 七 [1]{家} [2]{店面},1,,,,,
以 每 [1]{家} [2]{店面} 相關 警勤區 位置,1,,,,,
讓 這 [1]{家} 擁有 一百二十年 歷史 的 法國 特色 食品 [2]{店面} 在 中國 出現,1,,,,,
"1182,52,把,琴,0.009092253632843494,0.003786967834457755,Nf,Na",1,,,,,
這 [1]{把} 名 [2]{琴},1,,,,,
搭配 一 [1]{把} 身價 一千六百萬 台幣 的 名 [2]{琴},1,,,,,
這 四 [1]{把} 名 [2]{琴} 出自 十七世紀,1,,,,,
這 [1]{把} 名 [2]{琴} 平時 並 沒有 經常 展示,1,,,,,
但 家 中 經濟 讓 他 一直 煩惱 無法 擁有 一 [1]{把} 好 [2]{琴},1,,,,,
"1183,52,棟,摩天大樓,0.015497681684792042,0.009403571486473083,Nf,Na",1,,,,,
而 並未 料到 竟 將 兩 [1]{棟} [2]{摩天大樓} 完全 炸垮,1,,,,,
列 在 遇害 名單 中 的 尚 有 九月 十一日 在 世界 貿易 中心 其中 一 [1]{棟} [2]{摩天大樓} 工作 的 六 名 廣播 工程師,1,,,,,
這 場 大火 可能 使得 支撐 這 [1]{棟} [2]{摩天大樓} 的 一 批 鋼架 失去 作用,1,,,,,
這 [1]{棟} 由 倍 耐力 輪胎 公司 在 一九五零 興建 的 三十一 層 一百二十七 公尺 高 的 [2]{摩天大樓},1,,,,,
起火點 在 一 [1]{棟} [2]{摩天大樓} 二十一樓,1,,,,,
"1184,52,輛,旅行車,0.018532898277044296,0.009375868365168571,Nf,Na",1,,,,,
受到 後面 跟隨 的 一 [1]{輛} 瑞典 小 [2]{旅行車} 追撞,1,,,,,
使 超過 一百 [1]{輛} 的 [2]{旅行車} 無法 下山,1,,,,,
停 在 她 身旁 的 一 [1]{輛} [2]{旅行車} 上 正 播放 著 保護 動物 組織 在 河北省 鄉間 所 拍攝到 的 動物 剝皮 畫面,1,,,,,
直到 撞上 一 [1]{輛} [2]{旅行車} 才 停下,1,,,,,
直 往 一 [1]{輛} [2]{旅行車} 撞 去,1,,,,,
"1185,52,池,春水,0.01855592429637909,0.013619932346045971,Nf,Na",1,,,,,
才 攪亂 一 [1]{池} [2]{春水},1,,,,,
宋楚瑜 此 舉 再次 攪亂 一 [1]{池} [2]{春水},1,,,,,
一 [1]{池} [2]{春水},1,,,,,
一 [1]{池} [2]{春水},1,,,,,
攪亂 匯市 一 [1]{池} [2]{春水},1,,,,,
"1186,52,幢,大廈,0.0169182438403368,0.013424718752503395,Nf,Na",1,,,,,
一直 以 一 [1]{幢} 商住 [2]{大廈} 作為 駐地,1,,,,,
建有 二十 [1]{幢} [2]{大廈},1,,,,,
包括 太子 道西 一 [1]{幢} [2]{大廈} 的 冷氣機 架,1,,,,,
去年 底 扮 蜘蛛俠 爬上 香港 中環 一 [1]{幢} [2]{大廈} 外牆,1,,,,,
發現 她 及 一 名 六十六 歲 男子 正 從 一 [1]{幢} [2]{大廈} 一樓 的 單位 離開,1,,,,,
"1187,52,克拉,森,0.015179861336946487,0.020186519250273705,Nf,Na",5,,,,,
[1]{克拉} [2]{森} 顯示,5,,,,,
[1]{克拉} [2]{森} 與 葛洛芙絲 得 表現 稍稍 化解 了 加國 男子 冰 球隊 八強賽 中 箭 落馬 的 憂鬱 情緒,5,,,,,
今天 得 銅牌 的 加拿大 選手 [1]{克拉} [2]{森},5,,,,,
加拿大 的 [1]{克拉} [2]{森} 獲得 銅牌,5,,,,,
加拿大 的 [1]{克拉} [2]{森} 在 本 屆 冬運 已經 獲得 五 面 獎牌,5,,,,,
"1188,52,隻,野狗,0.015688208863139153,0.010699829086661339,Nf,Na",1,,,,,
但是 被 兩 [1]{隻} [2]{野狗} 追趕,1,,,,,
琳蒂 堅稱 她 看見 一 [1]{隻} [2]{野狗} 叼走 了 小 女嬰,1,,,,,
閃避 一 [1]{隻} [2]{野狗} 時 翻落 路邊 駁坎 再 撞上 電線桿,1,,,,,
但 只 抓到 三 [1]{隻} [2]{野狗},1,,,,,
讓 埔里 的 好 山 好 水 不 被 幾 [1]{隻} [2]{野狗} 給 污染 了,1,,,,,
"1189,52,張,傳票,0.012534200213849545,0.007785096298903227,Nf,Na",1,,,,,
陳水扁 總統 以前 因 案 被 傳 了 十幾 [1]{張} [2]{傳票} 都 不 回應,1,,,,,
台北 地檢署 檢察官 戴文亮 今天 開出 共 五 [1]{張} 的 搜索票 和 [2]{傳票},1,,,,,
調派 四 名 檢察官 攜帶 一百零九 [1]{張} [2]{傳票} 和 拘票,1,,,,,
車 內 還 遺留 一 [1]{張} 署名 煙毒 嫌犯 侯惠祥 的 開庭 [2]{傳票},1,,,,,
開出 三十一 [1]{張} [2]{傳票},1,,,,,
"1190,52,枝,手槍,0.010240328498184681,0.009800249710679054,Nf,Na",1,,,,,
警方 在 槍戰 現場 尋獲 一 [1]{枝} 點 四五 口徑 的 [2]{手槍},1,,,,,
他 已經 進口 了 五 批 約 一百二十 [1]{枝} 的 空氣 [2]{手槍},1,,,,,
每 [1]{枝} [2]{手槍} 都 有 專屬 證照,1,,,,,
購買 道具槍 多 [1]{枝} 改造 及 非法 持有 改造 [2]{手槍},1,,,,,
並 比對 上千 [1]{枝} 改造 [2]{手槍},1,,,,,
"1191,52,片,藍天,0.01342768408358097,0.00902657862752676,Nf,Na",1,,,,,
面對 國民黨 奪回 南 台灣 一 [1]{片} [2]{藍天} 的 企圖心,1,,,,,
更 在 歐洲 重機械業 闖出 一 [1]{片} [2]{藍天},1,,,,,
而 他 自己 這 幾 年 也 得以 重新 在 好萊塢 闖出 自己 的 一 [1]{片} [2]{藍天},1,,,,,
政治 版圖 上 始終 是 一 [1]{片} [2]{藍天},1,,,,,
未來 必 能 擁有 一 [1]{片} [2]{藍天},1,,,,,
"1192,52,排,座位,0.0074304440058767796,0.010136177763342857,Nf,Na",1,,,,,
從 最後 一 [1]{排} [2]{座位} 走到 台 上,1,,,,,
加上 共同 搭乘 華航 班機 回國 前後 三 [1]{排} [2]{座位} 的 十三 人,1,,,,,
特別 是 前 [1]{排} 的 [2]{座位} 都 逐一 放 著 入圍 和 應邀 出席 影星 的 本人 照片,1,,,,,
工作 人員 將 被 安排 在 場館 的 最 前 [1]{排} [2]{座位},1,,,,,
航空 公司 特別 保留 前 [1]{排} 的 [2]{座位} 給 布萊 爾等 人,1,,,,,
"1193,52,座,島嶼,0.008786586113274097,0.005159132648259401,Nf,Na",1,,,,,
由 六十餘 [1]{座} [2]{島嶼} 組成,1,,,,,
便 被 流放 到 這 [1]{座} [2]{島嶼},1,,,,,
當地 數 [1]{座} [2]{島嶼} 的 渡船 停擺,1,,,,,
由 一百二十四 [1]{座} [2]{島嶼} 組成,1,,,,,
其中 六十四 [1]{座} [2]{島嶼},1,,,,,
"1194,52,件,竊盜案,0.010990855284035206,0.008032234385609627,Nf,Na",1,,,,,
花蓮 地方 法院 審理 一 [1]{件} 經 花蓮 地檢署 起訴 的 [2]{竊盜案},1,,,,,
一 年 有 六 至 七萬 [1]{件} 住宅 [2]{竊盜案},1,,,,,
警方 共 查獲 二 [1]{件} 普通 [2]{竊盜案},1,,,,,
平均 每 十五 分鐘 就 發生 一 [1]{件} 機車 [2]{竊盜案},1,,,,,
雙溪 六 [1]{件} 電纜線 [2]{竊盜案} 都 他 所 為,1,,,,,
"1195,52,齣,戲碼,0.015039762482047081,0.011846018023788929,Nf,Na",1,,,,,
這 是 一 [1]{齣} 以 傳統 特色 為 基礎 的 [2]{戲碼},1,,,,,
為了 製作 這 [1]{齣} [2]{戲碼},1,,,,,
聯演 一 [1]{齣} [2]{戲碼},1,,,,,
這 [1]{齣} [2]{戲碼} 以 市井小民 為 主角,1,,,,,
兩 代 人 用 生命 故事 寫 就 了 這 [1]{齣} 感人 [2]{戲碼},1,,,,,
"1196,52,份,樣本,0.01509761530905962,0.006712500471621752,Nf,Na",1,,,,,
共 成功 訪問 一千零六十八 [1]{份} [2]{樣本},1,,,,,
共 完成 九百八十三 [1]{份} [2]{樣本},1,,,,,
在 一千零七十二 [1]{份} [2]{樣本} 中,1,,,,,
然而 這 [1]{份} 調查 的 [2]{樣本} 大都 位於 反對黨 支持率 較 高 的 都會區,1,,,,,
結果 從 七十三 [1]{份} [2]{樣本} 中,1,,,,,
"1197,51,齣,舞蹈,0.010361638851463795,0.009360703639686108,Nf,Na",1,,,,,
將 這 [1]{齣} [2]{舞蹈} 呈現給 大家,1,,,,,
這 [1]{齣} [2]{舞蹈} 中 可以 看到 季利安 擅長 的 流動式 舞台 空間 變化,1,,,,,
顯示 大家 希望 能 重新 欣賞 這 [1]{齣} 林懷民 年輕 時 創作出 的 繽紛 浪漫 [2]{舞蹈} 作品,1,,,,,
構成 這 [1]{齣} [2]{舞蹈},1,,,,,
對 這 [1]{齣} [2]{舞蹈} 有 興趣 者 可 於 明天 起 到 十一 日,1,,,,,
"1198,51,張,成績單,0.013849194161593914,0.007282589096575975,Nf,Na",1,,,,,
期 在 明年 此 時 交給 國人 一 [1]{張} 漂亮 的 [2]{成績單},1,,,,,
這 是 他 遲交 的 一 [1]{張} [2]{成績單},1,,,,,
有 了 一 [1]{張} 漂亮 的 [2]{成績單},1,,,,,
他 也 對 自己 的 黨主席 首 [1]{張} [2]{成績單} 備感 壓力,1,,,,,
選民 已經 在 這 次 選舉 給 陳水扁 總統 一 [1]{張} 不 及格 [2]{成績單},1,,,,,
"1199,51,項,舉措,0.012301309034228325,0.006716581527143717,Nf,Na",1,,,,,
亞視 新聞部 改革 是 一 [1]{項} 創新 [2]{舉措},1,,,,,
而 反對 渥荷 上 [1]{項} [2]{舉措},1,,,,,
提出 支持 開發 中 國家 加快 發展 的 五 [1]{項} [2]{舉措},1,,,,,
是 一 [1]{項} 便利 台灣 民眾 的 [2]{舉措},1,,,,,
中國 大陸 進一步 採取 十五 [1]{項} 惠台 [2]{舉措},1,,,,,
"1200,51,項,競賽,0.007070871070027351,0.004963881801813841,Nf,Na",1,,,,,
二十二 歲 的 拉妮 兩 [1]{項} [2]{競賽} 所 作 尿檢,1,,,,,
在 理論 及 實驗 兩 [1]{項} [2]{競賽} 中,1,,,,,
今天 將 舉行 十 [1]{項} [2]{競賽},1,,,,,
前 四 [1]{項} [2]{競賽} 一牌 難 求,1,,,,,
在 十五 [1]{項} [2]{競賽} 中,1,,,,,
"1201,51,番,工夫,0.011072124354541302,0.007743054069578648,Nf,Na",1,,,,,
最後 費 了 一 [1]{番} [2]{工夫} 才 將 駕駛 救出,1,,,,,
費 了 一 [1]{番} [2]{工夫} 才 險勝 義大利,1,,,,,
費 了 好 一 [1]{番} [2]{工夫} 才 靠到 車邊,1,,,,,
費 了 好 大一 [1]{番} [2]{工夫},1,,,,,
還 費 了 一 [1]{番} [2]{工夫},1,,,,,
"1202,51,套,裝置,0.010180209763348103,0.006960306316614151,Nf,Na",1,,,,,
這 [1]{套} [2]{裝置} 已經 運用 在 約 二十 件 的 人工 股關節 手術 上 而且 效果 良好,1,,,,,
這 [1]{套} 中國 目前 最 大 的 乙烯 [2]{裝置},1,,,,,
以及 一 [1]{套} 廢酸 回收 [2]{裝置} 和 配套 公用 工程 組成,1,,,,,
十八 [1]{套} 乙烯 生產 [2]{裝置},1,,,,,
這 [1]{套} [2]{裝置} 的 支持者 指稱,1,,,,,
"1203,51,棵,榕樹,0.017681587487459183,0.013129191473126411,Nf,Na",1,,,,,
嘉義縣 民雄鄉 有 一 [1]{棵} [2]{榕樹} 長出 芭樂,1,,,,,
另 一 [1]{棵} 為 [2]{榕樹},1,,,,,
其中 位於 溪口鄉 北極殿 旁 的 一 [1]{棵} 百 年老 [2]{榕樹},1,,,,,
配合 兩 [1]{棵} 百 年老 [2]{榕樹},1,,,,,
畫面 由 一 [1]{棵} 大 [2]{榕樹} 及 樹根 構成,1,,,,,
"1204,51,公斤,安非他命,0.007115861866623163,0.007955489680171013,Nf,Na",1,,,,,
蔡秀青 姊弟 擁有 近 七 [1]{公斤} [2]{安非他命},1,,,,,
沒收 了 三百六十五 [1]{公斤} [2]{安非他命},1,,,,,
共 五 [1]{公斤} [2]{安非他命},1,,,,,
為什麼 要 買 數 [1]{公斤} [2]{安非他命} 提神,1,,,,,
這 批 約 八 [1]{公斤} 的 [2]{安非他命},1,,,,,
"1205,51,隻,鵝,0.021884817630052567,0.012467113323509693,Nf,Na",1,y,,,,
顧家 養殖 的 一千一百 [1]{隻} [2]{鵝} 於 十一月 十七日 發病,1,,,,,
愛琴海 斯基 羅斯島 一 [1]{隻} 死 [2]{鵝} 的 檢體 送驗 呈 陽性 反應,1,,,,,
這 十 [1]{隻} 鳥 包括 九 隻 天鵝 和 一 隻 [2]{鵝},0,,未選緊鄰NP,,,
以及 養殖 兩百萬 [1]{隻} [2]{鵝} 的 生產 能力,1,,,,,
而 國立 體院 武術隊 則 以 舞獅 歡迎 這 兩 [1]{隻} [2]{鵝} 嬌客,1,,,,,
"1206,51,種,疾病,0.00786322820931673,0.006154410075396299,Nf,Na",1,,,,,
目前 已 有 超過 七十 [1]{種} [2]{疾病},1,,,,,
卻 飽受 兩 [1]{種} [2]{疾病} 的 困擾,1,,,,,
列舉 了 在 朝聖 期間 最 容易 對 朝 信徒 健康 造成 危害 的 幾 [1]{種} [2]{疾病},1,,,,,
老人 失智 是 [1]{種} [2]{疾病},1,,,,,
兩 [1]{種} [2]{疾病} 開始 時 都 有 共同 的 明顯 症狀,1,,,,,
"1207,51,件,醜聞,0.006649249233305454,0.003917281981557608,Nf,Na",1,,,,,
對於 這 [1]{件} [2]{醜聞},1,,,,,
對於 這 [1]{件} [2]{醜聞},1,,,,,
德國 經濟部長 因為 中國 施壓 而 取消 訪 台 的 反應 本身 就 是 [1]{件} [2]{醜聞},1,,,,,
就是 [1]{件} [2]{醜聞},1,,,,,
實在 是 [1]{件} 丟人現眼 的 [2]{醜聞},1,,,,,
"1208,51,件,舞弊案,0.015231668949127197,0.006051178090274334,Nf,Na",1,,,,,
且 與 這 [1]{件} [2]{舞弊案} 可能 有 關聯 的 立法 委員 候選人 魏木村 贈送 吹風機 給 民眾 的 真相 也 還 未 查 清楚,1,,,,,
二十四 [1]{件} [2]{舞弊案} 已 展開 調查,1,,,,,
由於 這 [1]{件} [2]{舞弊案} 屬於 內部 控管 問題,1,,,,,
但 全 國 試 委會 非常 重視 這 [1]{件} [2]{舞弊案},1,,,,,
這 [1]{件} 考場 [2]{舞弊案} 由 電信 警察 及 刑事局 偵七隊 共同 偵辦,1,,,,,
"1209,51,座,碉堡,0.01084627490490675,0.008215364068746567,Nf,Na",1,,,,,
十四 [1]{座} [2]{碉堡} 如今 僅 剩下 四 座 孤寂 挺立,1,,,,,
以 基地 內 大 榕樹 及 現存 四 [1]{座} [2]{碉堡} 為 主軸,1,,,,,
這 [1]{座} [2]{碉堡} 內 有 三 個 南北向 筒型大跨 間,1,,,,,
這 [1]{座} [2]{碉堡} 在 日據 時代,1,,,,,
美軍 去年 十一月 在 巴格達 中區 一 [1]{座} 部會 辦公 區 內 一 處 秘密 [2]{碉堡},1,,,,,
"1210,51,件,慘案,0.014671203680336475,0.0072617786936461926,Nf,Na",1,,,,,
對於 這 [1]{件} [2]{慘案} 多 認為 不可思議,1,,,,,
以及 早日 解決 這 [1]{件} [2]{慘案},1,,,,,
此 間 媒體 也 大幅 報導 這 [1]{件} [2]{慘案},1,,,,,
這 [1]{件} [2]{慘案} 使 斯里蘭卡 東部 和 北部 的 安全 狀況 更加 令 人 擔憂,1,,,,,
才 能 使 這 [1]{件} [2]{慘案} 對 大家 有 積極 正面 的 價值,1,,,,,
"1211,51,艘,研究船,0.016635796055197716,0.009217607788741589,Nf,Na",1,,,,,
一 [1]{艘} 俄羅斯 [2]{研究船} 花 了 三 個 星期 在 距 瑞典 最 南端 東南方 五十 公里 的 丹麥 波荷木島 附近 水域,1,,,,,
準備 安裝 在 一 [1]{艘} 中國 的 科學 [2]{研究船} 上,1,,,,,
印度 政府 派出 四 [1]{艘} [2]{研究船} 收集 資料,1,,,,,
四 [1]{艘} 科學 [2]{研究船} 一字 排開 在 高雄港 的 漁人 碼頭 邊,1,,,,,
四 [1]{艘} [2]{研究船} 今早 十時 離 港,1,,,,,
